lokasi,alamat,latitude,longitude,id,kode_provinsi,bps_kode_kabupaten_kota,jumlah_pengguna,tahun
TAMAN FOTO CEMPAKA,"TAMAN CEMPAKA, JALAN PATRA KOMALA, CITARUM, WEST JAVA, 40113, INDONESIA",-6.9,107.627,894.5,32.0,3273.0,1844.7,2017.0
TAMAN JOMBLO,"JALAN TAMANSARI NO.66, COBLONG, TAMAN SARI, BANDUNG WETAN, KOTA BANDUNG, JAWA BARAT",-6.9,107.609,906.5,32.0,3273.0,1590.8,2017.0
TAMAN KOTA CIKAPAYANG DAGO,"JL. IR. H. DJUANDA NO. 79, COBLONG, JAWA BARAT",-6.9,107.612,918.5,32.0,3273.0,100.2,2017.0
TAMAN LALU LINTAS ADE IRMA SURYANI,"JL. BELITUNG NO.1, MERDEKA, SUMUR BANDUNG, KOTA BANDUNG, JAWA BARAT",-6.9,107.613,930.5,32.0,3273.0,234.8,2017.0
TAMAN LANSIA,"TAMAN LANSIA, JALAN CILAKI, LEBAK GEDE, WEST JAVA, 40114, INDONESIA",-6.9,107.62,942.5,32.0,3273.0,868.7,2017.0
TAMAN MONUMEN PERJUANGAN RAKYAT,"JL. DIPATIUKUR NO.48, LB. GEDE, COBLONG, KOTA BANDUNG, JAWA BARAT",-6.9,107.619,954.5,32.0,3273.0,375.6,2017.0
TAMAN MUSIK CENTRUM,"TAMAN MUSIK CENTRUM, JALAN BALI, BANDUNG, WEST JAVA, 40113, INDONESIA",-6.9,107.616,966.5,32.0,3273.0,1580.4,2017.0
TAMAN PENDOPO WALIKOTA,"ALUN-ALUN (BANDUNG), JALAN DALEM KAUM, BANDUNG, WEST JAVA, 40111, INDONESIA",-6.9,107.608,978.5,32.0,3273.0,410.3,2017.0
TAMAN PERSIB,"LAPANGAN SUPRATMAN, JALAN LAPANG SUPRATMAN, CIHAUR GEULIS, WEST JAVA, 40122, INDONESIA",-6.9,107.63,990.5,32.0,3273.0,1267.8,2017.0
TAMAN PRAMUKA,"TAMAN PRAMUKA, JALAN R.E. MARTADINATA, CITARUM, WEST JAVA, 40114, INDONESIA",-6.9,10  7.627,999.0,32.0,3273.0,1351.0,2017.0
TAMAN PRAMUKA,"TAMAN PRAMUKA, JALAN R.E. MARTADINATA, CITARUM, WEST JAVA, 40114, INDONESIA",-6.9,107.627,1002.8,32.0,3273.0,1056.8,2017.0
TAMAN PUSTAKA BUNGA,"TAMAN PUSTAKA BUNGA KANDAGA PUSPA, JALAN CISANGKUY, LEBAK GEDE, WEST JAVA, 40114, INDONESIA",-6.9,107.623,1014.5,32.0,3273.0,501.3,2017.0
TAMAN RESTORASI SUNGAI CIKAPAYANG,"JALAN MERDEKA NO. 30, SUMURBANDUNG, JAWA BARAT",-6.9,107.61,1026.5,32.0,3273.0,464.5,2017.0
TAMAN SUPER HERO,"WAROENG BOENTOET, 46, JALAN ANGGREK, CIHAPIT, WEST JAVA, 40122, INDONESIA",-6.9,107.63,1038.5,32.0,3273.0,1635.2,2017.0
TAMAN TEGALEGA,"TAMAN KONSERVASI TEGA LEGA, JL. MOCH. TOHA, BANDUNG, JAWA BARAT",-6.9,107.604,1050.5,32.0,3273.0,613.3,2017.0
TAMAN TRI G (3G),"JALAN RAA. MARTANEGARA, LINGKAR SELATAN, WEST JAVA, 40258, INDONESIA",-6.9,107.627,1062.5,32.0,3273.0,1739.8,2017.0
TAMAN VANDA,"JALAN MERDEKA NO.9, SUMUR BANDUNG, JAWA BARAT",-6.9,107.61,1074.5,32.0,3273.0,129.6,2017.0
TERAS CIKAPUNDUNG,"TAMAN TERAS CIKAPUNDUNG, JALAN SILIWANGI, CITEUREUP, HEGARMANAH, WEST JAVA, 40131, INDONESIA",-6.9,107.607,1086.5,32.0,3273.0,919.9,2017.0
TERMINAL CICAHEUM,"CICAHEUM, KIARACONDONG, KOTA BANDUNG, JAWA BARAT",-6.9,107.657,1098.5,32.0,3273.0,794.0,2017.0
TERMINAL LEUWIPANJANG,"JALAN LEUWI PANJANG, SITUSAEUR, BOJONGLOA KIDUL, KOTA BANDUNG, JAWA BARAT",-6.9,107.593,1110.5,32.0,3273.0,1356.2,2017.0
